Generation  0
Individual id:  74  | Accuracy:  0.3333333333333333  | Hinge Loss:  15.46348823840042
Individual id:  75  | Accuracy:  0.4666666666666667  | Hinge Loss:  1.619214899006909
Individual id:  76  | Accuracy:  0.3333333333333333  | Hinge Loss:  9.667881856650967
Individual id:  77  | Accuracy:  0.3333333333333333  | Hinge Loss:  11.014905000011021
Individual id:  78  | Accuracy:  0.3333333333333333  | Hinge Loss:  14.672336669049281
Individual id:  79  | Accuracy:  0.3333333333333333  | Hinge Loss:  13.27203839346723
Individual id:  80  | Accuracy:  0.6866666666666666  | Hinge Loss:  0.7744099684666512
Individual id:  81  | Accuracy:  0.3333333333333333  | Hinge Loss:  16.772439394272826
Individual id:  82  | Accuracy:  0.38666666666666666  | Hinge Loss:  12.529638854655769
Individual id:  83  | Accuracy:  0.3333333333333333  | Hinge Loss:  5.046643038371718
Individual id:  84  | Accuracy:  0.3333333333333333  | Hinge Loss:  7.017284035085814
Individual id:  85  | Accuracy:  0.0  | Hinge Loss:  8.181496056322896
Individual id:  86  | Accuracy:  0.36666666666666664  | Hinge Loss:  4.163047619527543
Individual id:  87  | Accuracy:  0.6666666666666666  | Hinge Loss:  8.445334397190358
Individual id:  88  | Accuracy:  0.3333333333333333  | Hinge Loss:  10.76406136037418
Individual id:  89  | Accuracy:  0.3333333333333333  | Hinge Loss:  5.238192947964734
Individual id:  90  | Accuracy:  0.3333333333333333  | Hinge Loss:  10.844947295584443
Individual id:  91  | Accuracy:  0.3333333333333333  | Hinge Loss:  5.2980383725803195
Individual id:  92  | Accuracy:  0.3333333333333333  | Hinge Loss:  6.288477647933166
Individual id:  93  | Accuracy:  0.3333333333333333  | Hinge Loss:  2.962950099640534
Individual id:  94  | Accuracy:  0.3333333333333333  | Hinge Loss:  5.886395486883673
Individual id:  95  | Accuracy:  0.3333333333333333  | Hinge Loss:  5.087536083159253
Individual id:  96  | Accuracy:  0.3333333333333333  | Hinge Loss:  8.942499821826063
Individual id:  97  | Accuracy:  0.6666666666666666  | Hinge Loss:  8.68210728449482
Individual id:  98  | Accuracy:  0.3333333333333333  | Hinge Loss:  6.883583919334996
Individual id:  99  | Accuracy:  0.3333333333333333  | Hinge Loss:  3.092203334171781
Metrics: 
Average accuracy of the population:  0.33739999999999976
Average loss of the population:  9.870261313064615
---------------------------------------------------
Generation  1
Individual id:  0  | Accuracy:  0.6866666666666666  | Hinge Loss:  0.7744099684666512
Individual id:  1  | Accuracy:  0.4666666666666667  | Hinge Loss:  1.619214899006909
Individual id:  2  | Accuracy:  0.3333333333333333  | Hinge Loss:  2.015845315379167
Individual id:  3  | Accuracy:  0.5866666666666667  | Hinge Loss:  2.214236229566259
Individual id:  4  | Accuracy:  0.3333333333333333  | Hinge Loss:  2.4452031024856296
Individual id:  5  | Accuracy:  0.3333333333333333  | Hinge Loss:  2.962950099640534
Individual id:  6  | Accuracy:  0.3333333333333333  | Hinge Loss:  3.092203334171781
Individual id:  7  | Accuracy:  0.6666666666666666  | Hinge Loss:  4.156233442314721
Individual id:  8  | Accuracy:  0.36666666666666664  | Hinge Loss:  4.163047619527543
Individual id:  9  | Accuracy:  0.3333333333333333  | Hinge Loss:  4.297545968060316
Individual id:  10  | Accuracy:  0.3333333333333333  | Hinge Loss:  5.046643038371718
Individual id:  11  | Accuracy:  0.3333333333333333  | Hinge Loss:  5.087536083159253
Individual id:  12  | Accuracy:  0.3333333333333333  | Hinge Loss:  5.142389859056918
Individual id:  13  | Accuracy:  0.3333333333333333  | Hinge Loss:  5.232568584920769
Individual id:  14  | Accuracy:  0.3333333333333333  | Hinge Loss:  5.238192947964734
Individual id:  15  | Accuracy:  0.3333333333333333  | Hinge Loss:  5.253659235855377
Individual id:  16  | Accuracy:  0.6666666666666666  | Hinge Loss:  5.288438827842587
Individual id:  17  | Accuracy:  0.3333333333333333  | Hinge Loss:  5.2980383725803195
Individual id:  18  | Accuracy:  0.3333333333333333  | Hinge Loss:  5.353595135499814
Individual id:  19  | Accuracy:  0.3333333333333333  | Hinge Loss:  5.863386705913828
Individual id:  20  | Accuracy:  0.3333333333333333  | Hinge Loss:  5.886395486883673
Individual id:  21  | Accuracy:  0.3333333333333333  | Hinge Loss:  5.943249530151766
Individual id:  22  | Accuracy:  0.3333333333333333  | Hinge Loss:  6.112735207650849
Individual id:  23  | Accuracy:  0.5333333333333333  | Hinge Loss:  6.168421133741698
Individual id:  24  | Accuracy:  0.3333333333333333  | Hinge Loss:  6.2465296937725805
Individual id:  25  | Accuracy:  0.3333333333333333  | Hinge Loss:  6.288477647933166
Individual id:  26  | Accuracy:  0.0  | Hinge Loss:  6.342225719423257
Individual id:  27  | Accuracy:  0.3333333333333333  | Hinge Loss:  6.442711604998438
Individual id:  28  | Accuracy:  0.3333333333333333  | Hinge Loss:  6.489514781645526
Individual id:  29  | Accuracy:  0.3333333333333333  | Hinge Loss:  6.883583919334996
Individual id:  30  | Accuracy:  0.3333333333333333  | Hinge Loss:  4.86734100681984
Individual id:  31  | Accuracy:  0.3333333333333333  | Hinge Loss:  7.229072459863897
Individual id:  32  | Accuracy:  0.3333333333333333  | Hinge Loss:  14.835219123048955
Individual id:  33  | Accuracy:  0.3333333333333333  | Hinge Loss:  9.253749654147972
Individual id:  34  | Accuracy:  0.3333333333333333  | Hinge Loss:  5.4344883501964345
Individual id:  35  | Accuracy:  0.3333333333333333  | Hinge Loss:  3.3833255736708376
Individual id:  36  | Accuracy:  0.3333333333333333  | Hinge Loss:  9.282496787351432
Individual id:  37  | Accuracy:  0.30666666666666664  | Hinge Loss:  7.205263257498114
Individual id:  38  | Accuracy:  0.3333333333333333  | Hinge Loss:  13.574366547044473
Individual id:  39  | Accuracy:  0.3333333333333333  | Hinge Loss:  6.028763302580137
